Activity_ID,SMILES,target_id,pchembl_value_Mean
AFKGLNWCCRQRMJ_on_P14416_WT,Cc1ccc2c(c1)C(C1=CC(C)N(C)CC1)=Nc1ccccc1N2,P14416_WT,6.09
AFKRYMMWFODFAD_on_P14416_WT,O=C(C=Cc1c[nH]c2ccccc12)NCCCCN1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,P14416_WT,6.2
AFNNYMZEMGROFW_on_P14416_WT,CN1CCN(c2nc(N)nc(C(C)(C)Sc3ccc4ccccc4c3)n2)CC1,P14416_WT,6.52
AFTOBIAKNPTOEU_on_P14416_WT,CCc1[nH]c(N)nc1-c1cn(S(=O)(=O)c2ccccc2)c2ccc(OC)cc12,P14416_WT,5.79
AFWAVLNIGSUCHI_on_P14416_WT,COc1ccccc1OCCNCC(O)c1ccc(O)c(O)c1,P14416_WT,6.43
AFYFGCAEDGKSJG_on_P14416_WT,COc1cccc2c1CCCC21CCN(CCCSc2nnc(-c3ocnc3C)n2C)C1,P14416_WT,6.4
AFYGMVTVTLNALM_on_P14416_WT,O=S(=O)(NC1CCN(CCOc2cccc(Cl)c2Cl)C1)c1ccc(Cl)s1,P14416_WT,7.17
AGMWTWZTMQSDHF_on_P14416_WT,Clc1ccc(N2CCN(Cc3cn4nc(Cl)ccc4n3)CC2)cc1,P14416_WT,5.005
AGUIOVNIFLIHLU_on_P14416_WT,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccccc1Br)CC2,P14416_WT,6.38
AGUZAIMBKPZTGP_on_P14416_WT,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,P14416_WT,7.76
AGZPZBJIQLGGOQ_on_P14416_WT,COc1ccc2[nH]c3c(c2c1)CCN(C)CCc1ccccc1C3,P14416_WT,7.92
AGZZUNBFSOFXTB_on_P14416_WT,CC(C)(C)c1ccc(C(=O)NC2CCC(CCN3CCC(c4coc5ccccc45)CC3)CC2)cc1,P14416_WT,5.95
AHJHJVULSVKBEA_on_P14416_WT,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,P14416_WT,9.72
AIANRSPJEBRESY_on_P14416_WT,CCCN1CCN(c2ccc(O)c3c2OCCO3)CC1,P14416_WT,5.24
AIBSVCNXTNBLRF_on_P14416_WT,Cc1ccc2c3c(ccc2n1)OCC(CN1CCN(c2ccc4cc(C#N)ccc4n2)CC1)O3,P14416_WT,5.88
AICFPAVUBCPJDG_on_P14416_WT,O=C(CF)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1,P14416_WT,6.64
AIDTVWDAJAVXLC_on_P14416_WT,COc1ccccc1N1CCN(CC=CCNC(=O)c2cc(Br)cc(OC)c2OCCF)CC1,P14416_WT,7.24
AIFZEYXRSJHTOL_on_P14416_WT,O=C(NCCCN1CCN(c2ccc(Br)cc2)CC1)NN(Cc1ccccc1)c1ccccc1,P14416_WT,6.21
AIJCIPNKOAOKBN_on_P14416_WT,COc1cccc2[nH]cc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)c12,P14416_WT,7.63
AIYKVNCJQXICKY_on_P14416_WT,COc1cc2c(cc1O)CN(Cc1ccccc1CNC(=O)c1ccccc1Cl)CC2,P14416_WT,6.72
AJEQJTPMMJPNLR_on_P14416_WT,Cn1c(SCCCN2CC3CCN(c4ccc(F)cc4)C3C2)nnc1C1CCOCC1,P14416_WT,6.466666666666666
AJESKKMIWNWSBT_on_P14416_WT,CN1CCN(C2Cc3ccccc3Sc3ccc(-c4ccnn4C)cc32)CC1,P14416_WT,9.07
AJIGPZIDDACLTM_on_P14416_WT,O=C(NCCCCN1CCN(c2cccc(F)c2)CC1)c1cc2ccccc2cn1,P14416_WT,6.8
AJKOTVCMUKNUGM_on_P14416_WT,Clc1ccc2sc(CCCCN3CCc4c(Cl)cccc4C3)nc2c1,P14416_WT,6.07
AJMKQHBCAXBYKM_on_P14416_WT,COc1ccc(-c2nc(CN(C)CC3Cc4ccccc4O3)c(C)o2)cc1C,P14416_WT,5.17
AJMVNIXLWRBDLU_on_P14416_WT,CCCN(CCC)C1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,P14416_WT,6.67
AJNIRLYKPAIXJT_on_P14416_WT,COc1ccccc1N1CCN(CCCCc2cn(-c3ccc(F)cc3)nn2)CC1,P14416_WT,7.33
AJQHTFDOWXUHQW_on_P14416_WT,O=c1c2ccccc2ncn1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,P14416_WT,7.14
AJRQMVCEFKRUBB_on_P14416_WT,O=S(=O)(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(F)c(F)c1,P14416_WT,7.62
AKAZDIQCZSDVHY_on_P14416_WT,COc1ccc2c(c1)C1OCCN(CCCCNC(=O)c3cccs3)C1CO2,P14416_WT,6.09
AKOUANOAMJNPBZ_on_P14416_WT,COC1CCC(CC(=O)NC2CCC(CCN3CCC(c4coc5ccccc45)CC3)CC2)CC1,P14416_WT,7.17
AKRZFAUTJFZOAO_on_P14416_WT,COCOc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccc(OC)cc3)CC2)cc1,P14416_WT,6.49
AKTHZRZKYPJJRC_on_P14416_WT,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,P14416_WT,7.58
AKTQSTPCOLTVQO_on_P14416_WT,COc1ccccc1N1CCN(CCCN=C2COc3ccccc3N2)CC1,P14416_WT,6.55
AKTVMLWMKKIHMI_on_P14416_WT,CCOc1ccc(F)cc1C1CC1CN(CC)CCCSc1nnc(-c2ccccc2)n1C,P14416_WT,6.42
AKUFOSYLIYVIGY_on_P14416_WT,COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)CC2)C1,P14416_WT,5.21
AKVKFYJVVRZPJJ_on_P14416_WT,CN(C)CCC1CC(=O)C(O)c2c1ccc1ccccc21,P14416_WT,7.41
AKXPLUFJRRUGNE_on_P14416_WT,CC1(CCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,P14416_WT,5.96
AKYWUMKVNYAANP_on_P14416_WT,CN1CCN(C2Cc3ccccc3Sc3ccc(Cc4nnnn4C)cc32)CC1,P14416_WT,8.72
ALDCLQHVTZPMQV_on_P14416_WT,COc1cc2c(cc1O)C1Cc3sc(CC4CCC4)cc3CN1CC2,P14416_WT,7.47
ALJFHHUCGXIRIJ_on_P14416_WT,Cc1cccc(-c2ccc3c(c2)C(N2CCN(C)CC2)Cc2ccccc2S3)c1C,P14416_WT,8.7
ALJNGMYHXPZTTG_on_P14416_WT,CC(=O)NC1CCC(CCN2CCN(c3ncc(C)c4occc34)CC2)CC1,P14416_WT,5.83
ALKXNIXXISSQFE_on_P14416_WT,COc1cccc(CN2CC=C(c3c[nH]c4ccccc34)CC2)c1,P14416_WT,7.57
ALLUIYWATYVDFM_on_P14416_WT,O=C(CC1(O)CCC1)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,P14416_WT,7.02
ALLYNSCMTRSFNH_on_P14416_WT,Oc1ccccc1N1CCN(Cc2cnn3ccccc23)CC1,P14416_WT,5.34
ALMBNZHSWURVRM_on_P14416_WT,O=S(=O)(NC1CCN(CCOc2ccccc2)C1)c1ccc(Cl)s1,P14416_WT,6.5
ALPMTMYCYHOFLH_on_P14416_WT,O=C(NCCCCN1CCOC2c3ccccc3OCC21)C1CCCCC1,P14416_WT,6.14
ALPOWWDAVMFBEC_on_P14416_WT,COc1ccccc1N1CCN(CCCCN2CCc3ncsc3CC2)CC1,P14416_WT,7.07
ALTKABGEMCJWJH_on_P14416_WT,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,P14416_WT,5.61
ALXBTSBMBMBYHQ_on_P14416_WT,COc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,P14416_WT,7.2
ALZFDRFMVFNHJV_on_P14416_WT,Cc1cccc(C(=O)NCN2CCC(c3ccccc3)CC2)c1,P14416_WT,6.63
AMADNKXMEDYTCS_on_P14416_WT,Cn1c(CN2CCC(c3ccccc3F)CC2)nc2ccccc21,P14416_WT,7.4
AMBHQWIFPINWOO_on_P14416_WT,CC1CN(CCC2CCC(NC(=O)C3CCCCC3)CC2)CCc2ccc(Cl)cc21,P14416_WT,7.0
AMCLEKXUPLBXGM_on_P14416_WT,O=C(CC1CCCO1)NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1,P14416_WT,7.28
AMDRAFDQLSKJMW_on_P14416_WT,FC(F)(F)c1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1,P14416_WT,8.8
AMFHRDQSGJPBOQ_on_P14416_WT,CCOc1ccccc1C(=O)NC1CCN(CCOc2cccc(F)c2)CC1,P14416_WT,7.12
AMIGTUQPTNLQHG_on_P14416_WT,COc1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)n4C)CC32)cc1,P14416_WT,5.8
AMIUKHHHHJYBCP_on_P14416_WT,c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,P14416_WT,6.32
AMJCGARHMZJBKQ_on_P14416_WT,COc1ccccc1N1CCN(CCCCN2CCc3cc(-c4cccs4)ccc3C2=O)CC1,P14416_WT,8.06
AMUCTWAVRKDCJA_on_P14416_WT,COc1ccccc1N1CCN(CCCN2CCN(c3ncccc3C#N)CC2)CC1,P14416_WT,6.96
AMUFJSCMOPQLMQ_on_P14416_WT,CC1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21,P14416_WT,7.82
ANCFDBAFLRCWEK_on_P14416_WT,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4CCCO5)CC3)nc2N1,P14416_WT,9.0
ANDAVALYLUYQOC_on_P14416_WT,CCc1cccc(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4o3)CC2)c1Cl,P14416_WT,6.79
ANGUXJDGJCHGOG_on_P14416_WT,Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1,P14416_WT,6.3
ANOQJCMMWZANCH_on_P14416_WT,Clc1cccc(N2CCN(CCCCOc3cc4ccccn4n3)CC2)c1Cl,P14416_WT,8.015
ANQRPBNHSKJQGO_on_P14416_WT,COCCOc1c(O)ccc2c1CN1CCc3cc(OC)c(O)cc3C1C2,P14416_WT,7.75
ANTKBACNWQHQJE_on_P14416_WT,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,P14416_WT,7.11
ANTOILZBKKIMIM_on_P14416_WT,Cc1ccccc1N1CCC2CN(CCCSc3nnc(-c4cnccn4)n3C)CC21,P14416_WT,5.5
ANYPUOSSIOCSJC_on_P14416_WT,Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cc5ccccc5[nH]4)n2C)CC3)o1,P14416_WT,6.0
AOESATFDEMWHLJ_on_P14416_WT,COc1ccc(OC)c(S(=O)(=O)NC2CCC(N3CCN(c4ccccc4OC(C)C)CC3)CC2)c1,P14416_WT,7.15
AOLMBJPDPWHRDR_on_P14416_WT,O=C(CCOCCN1CCN(c2ncccc2-c2ccc(F)cc2)CC1)NCc1ccc(C(F)(F)F)cc1,P14416_WT,6.41
AOWBRNQOUCDADD_on_P14416_WT,O=S(=O)(c1ccnc2ccccc12)N1CCCCCC1CCN1CCN(c2nsc3ccccc23)CC1,P14416_WT,8.52
APDUBUJHUYQKMX_on_P14416_WT,FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,P14416_WT,5.96
APEZAWGOFKUHCA_on_P14416_WT,Cc1cccc(C#N)c1-c1cccc2c1-c1cccc3c1C(C2)N(C)CC3,P14416_WT,5.955
APGISPPDWLSWQA_on_P14416_WT,O=C1CC(CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2ncncc21,P14416_WT,6.2
APIFLWWBMVHSHA_on_P14416_WT,CCCOc1c(O)cc(Br)c2c1CN1CCc3cc(OC)c(O)cc3C1C2,P14416_WT,7.16
APKDIQSHDGVEMU_on_P14416_WT,CN(C1CCN(CCOc2ccccc2C(C)(C)C)CC1)S(=O)(=O)c1ccc(F)cc1,P14416_WT,6.49
APLABOCEGYBQFY_on_P14416_WT,O=S(=O)(c1cncc2ccccc12)N1CCC1CCN1CCN(c2cccc3sccc23)CC1,P14416_WT,7.54
APXWTOJVYSVWJO_on_P14416_WT,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1-c1cncnc1,P14416_WT,5.9
AQHZNVAMLJSYRQ_on_P14416_WT,Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)cc4)CC3)n2c(C)n1,P14416_WT,4.41
AQINCVNJJDJAMA_on_P14416_WT,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1-c1nccs1,P14416_WT,6.8
AQPYEVVJFZDJNJ_on_P14416_WT,COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,P14416_WT,7.1
AQQFXOLTZFTABW_on_P14416_WT,CN(CCCC12CCC(c3ccccc31)c1ccccc12)Cc1ccc(OCCCN2CCCCC2)cc1,P14416_WT,6.84
AQSVMVNGAJNPNB_on_P14416_WT,CCOc1ccccc1N1CCN(CCCCCCN2c3cccc4cccc(c34)S2(=O)=O)CC1,P14416_WT,7.52
AQZKOCOTDHBMJV_on_P14416_WT,COc1ccc2c(c1)CN(CCC1CCC(NC(=O)C=Cc3ccc(F)cc3)CC1)C2,P14416_WT,6.7
ARBMCJMFENZVMO_on_P14416_WT,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc4c(c3)OCO4)c3ccccc32)CC1,P14416_WT,6.08
AREYZFZATPKFNP_on_P14416_WT,O=C1N(CC2CCCCN2)CCN1c1cccc(C(F)(F)F)c1,P14416_WT,7.7
ARLJJBVYIOLHMS_on_P14416_WT,COc1ccc(Cl)cc1C1CC1CN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1,P14416_WT,6.67
AROFXNYQCSFIME_on_P14416_WT,CCCN1CCOC2c3cc(OCCCCNC(=O)c4cc5ccccc5[nH]4)ccc3OCC21,P14416_WT,5.41
AROYESYOAIFFDX_on_P14416_WT,O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2cn1,P14416_WT,7.77
ARSLLTCMIOZESX_on_P14416_WT,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CCNC(=O)C1,P14416_WT,5.87
ARWONURFSGKTJW_on_P14416_WT,Fc1ccc(CCCCN2CCN(c3ccc(Cl)cc3)CC2)cc1,P14416_WT,6.55
ARXBAOIZXCCQAV_on_P14416_WT,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1-c1ccccn1,P14416_WT,6.4
ASFIQZWALJTDCY_on_P14416_WT,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CCCCNCCC(C(=O)N(C)C)(c2ccccc2)c2ccccc2)c1O,P14416_WT,6.363333333333333
ASFLUVKXUIJMQA_on_P14416_WT,O=C1NCc2cc(Cl)c(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21,P14416_WT,7.61
ASGPPKHUWWRTLM_on_P14416_WT,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,P14416_WT,5.484999999999999
ASINOPIKMGWLQS_on_P14416_WT,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2c(cccc2OS(=O)(=O)C(F)(F)F)C1,P14416_WT,6.4
ASKCQUQTSBOXCM_on_P14416_WT,OC1(c2cccc(Cl)c2Cl)CCN(Cc2c[nH]c3ccccc23)CC1,P14416_WT,7.58
ASSMUHYHXZFLKM_on_P14416_WT,Oc1ccc(N2CCN(CCCCOc3ccn4nccc4c3)CC2)c2c1OCCO2,P14416_WT,7.065
ASXGJMSKWNBENU_on_P14416_WT,CCCN(CCC)C1CCc2cccc(O)c2C1,P14416_WT,7.03
ASYRWYXXPRLTPR_on_P14416_WT,O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1cc2ccccn2n1,P14416_WT,7.545
ATBHOQNWZSXLBZ_on_P14416_WT,CC(C)Oc1ccccc1OCCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,P14416_WT,6.92
ATCJEKKXEJVYOB_on_P14416_WT,COc1ccc2c(c1)CCN(C)CCc1ccccc1C2,P14416_WT,8.346666666666666
ATEBFGWCGSVURN_on_P14416_WT,O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,P14416_WT,8.15
ATFLUEAKGONIBT_on_P14416_WT,CN(C)C(=O)NCC1CCC(CN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,P14416_WT,7.37
ATHCQCSSVYPJIN_on_P14416_WT,O=C(NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc2ncccc2c1,P14416_WT,6.3
ATLSVLPVZPFHBU_on_P14416_WT,N#Cc1ccc2c(c1)CN(CCC1CCC(NC(=O)C=Cc3ccccc3)CC1)CC2,P14416_WT,6.8
ATMVGYLFYGIYDI_on_P14416_WT,COc1ccccc1N1CCN(CCCCCOc2ccc3ccccc3c2)CC1,P14416_WT,7.47
ATOMZLGTVBAGNB_on_P14416_WT,COc1ccccc1N1CCN(CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,P14416_WT,7.16
AUBVMUJWPOHAEW_on_P14416_WT,N#Cc1ccc2cc(C(=O)NCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)[nH]c2c1,P14416_WT,6.47
AUCTYGBZIOGIIA_on_P14416_WT,Cc1ccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)cc1,P14416_WT,7.31
AUKPHAAWNDZREH_on_P14416_WT,CN1CCN(C2=Nc3ccccc3N(NC(=O)c3ccc(C#N)cc3)c3ccc(Cl)cc32)CC1,P14416_WT,5.71
AUMIZIKCBYPWJM_on_P14416_WT,COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc3ccccc3c2)CC1,P14416_WT,7.33
